time,symbol,side,price,volume,commission,pnl,tags
2025-10-30 05:45:00,rb888,sell,3110.0,1,3.1100000000000003,0.0,
2025-10-31 02:00:00,rb888,buy,3125.0,1,3.125,-15.0,close
2025-10-31 06:00:00,rb888,sell,3104.0,1,3.104,0.0,
2025-11-03 03:00:00,rb888,buy,3082.0,1,3.0820000000000003,22.0,close
2025-11-03 05:45:00,rb888,sell,3080.0,1,3.08,0.0,
2025-11-04 03:15:00,rb888,buy,3062.0,1,3.0620000000000003,18.0,close
2025-11-05 06:00:00,rb888,buy,3029.0,1,3.0290000000000004,0.0,
2025-11-05 06:45:00,rb888,sell,3020.0,1,3.02,-9.0,close
2025-11-05 14:15:00,rb888,buy,3025.0,1,3.0250000000000004,0.0,
2025-11-06 13:00:00,rb888,sell,3035.0,1,3.035,10.0,close
2025-11-06 13:30:00,rb888,buy,3043.0,1,3.043,0.0,
2025-11-07 01:00:00,rb888,sell,3034.0,1,3.0340000000000003,-9.0,close
2025-11-10 01:15:00,rb888,buy,3039.0,1,3.039,0.0,
2025-11-10 01:45:00,rb888,sell,3025.0,1,3.0250000000000004,-14.0,close
2025-11-10 06:15:00,rb888,buy,3048.0,1,3.048,0.0,
2025-11-11 01:45:00,rb888,sell,3037.0,1,3.0370000000000004,-11.0,close
2025-11-11 13:15:00,rb888,buy,3040.0,1,3.04,0.0,
2025-11-12 13:15:00,rb888,sell,3028.0,1,3.028,-12.0,close
2025-11-13 01:45:00,rb888,buy,3036.0,1,3.036,0.0,
2025-11-13 02:45:00,rb888,sell,3044.0,1,3.044,8.0,close
2025-11-14 06:00:00,rb888,buy,3055.0,1,3.055,0.0,
2025-11-14 13:00:00,rb888,sell,3042.0,1,3.0420000000000003,-13.0,close
2025-11-14 14:15:00,rb888,sell,3043.0,1,3.043,0.0,
2025-11-17 01:00:00,rb888,buy,3073.0,1,3.073,-30.0,close
2025-11-17 01:15:00,rb888,buy,3078.0,1,3.0780000000000003,0.0,
2025-11-17 06:00:00,rb888,sell,3094.0,1,3.0940000000000003,16.0,close
2025-11-18 01:00:00,rb888,sell,3081.0,1,3.081,0.0,
2025-11-18 02:30:00,rb888,buy,3089.0,1,3.089,-8.0,close
2025-11-19 01:00:00,rb888,sell,3078.0,1,3.0780000000000003,0.0,
2025-11-19 02:30:00,rb888,buy,3095.0,1,3.095,-17.0,close
2025-11-19 02:45:00,rb888,buy,3095.0,1,3.095,0.0,
